0,92,67
1,91,66
2,90,66
3,89,65
4,89,65
5,88,65
6,86,65
7,87,65
8,85,65
9,86,63
10,87,63
11,87,64
12,87,66
13,87,64
14,86,63
15,84,63
16,85,63
17,86,62
18,86,63
19,87,66
20,87,65
21,88,63
22,88,64
23,90,64
24,90,64
25,92,66
26,91,65
27,91,63
28,92,64
29,93,60
30,94,61
31,94,63
32,95,62
33,95,62
34,95,61
35,95,62
36,96,59
37,95,62
38,95,61
39,95,62
40,95,63
41,95,64
42,94,64
43,92,64
44,88,66
45,85,67
46,85,64
47,81,65
48,79,66
49,77,67
50,75,68
51,74,68
52,72,68
53,70,69
54,70,70
55,67,70
56,66,71
57,62,71
58,63,72
59,61,71
60,64,71
61,62,70
62,59,74
63,62,73
64,61,72
65,60,72
66,62,72
67,60,70
68,62,72
69,62,72
70,63,72
71,63,71
72,63,70
73,63,69
74,65,68
75,65,68
76,65,67
77,67,65
78,67,67
79,65,63
80,68,63
81,68,63
82,69,58
83,71,59
84,75,59
85,79,60
86,82,59
87,83,57
88,86,57
89,91,58
90,96,58
91,103,60
92,108,61
93,108,59
94,110,60
95,109,58
96,110,59
97,111,59
98,109,58
99,109,58
100,108,58
101,107,62
102,105,63
103,102,62
104,101,60
105,97,62
106,94,64
107,91,64
108,89,61
109,86,60
110,84,60
111,84,60
112,80,59
113,81,60
114,80,59
115,80,58
116,78,58
117,78,59
118,78,59
119,78,59
120,78,59
121,75,59
122,74,57
123,76,58
124,75,57
125,75,57
126,74,57
127,76,56
128,74,58
129,73,58
130,74,57
131,74,56
132,72,56
133,72,56
134,72,56
135,74,56
136,74,56
137,74,54
138,74,55
139,75,56
140,76,57
141,77,56
142,77,54
143,79,55
144,79,55
145,80,55
146,80,54
147,80,54
148,81,55
149,82,55
150,81,52
151,81,53
152,81,54
153,83,53
154,83,53
155,83,55
156,82,55
157,83,55
158,84,56
159,82,56
160,82,54
161,83,55
162,83,55
163,82,55
164,83,57
165,84,56
166,84,58
167,83,59
168,83,62
169,83,61
170,85,61
171,84,64
172,85,66
173,84,63
174,86,65
175,85,63
176,86,64
177,84,63
178,85,65
179,86,66
180,86,66
181,86,65
182,87,67
183,88,67
184,88,66
185,90,68
186,89,67
187,90,67
188,92,70
189,92,71
190,93,75
191,93,74
192,93,75
193,94,75
194,95,76
195,98,81
196,98,77
197,99,78
198,103,83
199,101,80
200,104,81
201,105,81
202,105,81
203,110,85
204,110,83
205,113,83
206,116,84
207,117,82
208,115,81
209,116,80
210,112,78
211,111,73
212,108,71
213,103,69
214,101,67
215,97,65
216,92,64
217,89,63
218,85,62
219,83,60
220,80,60
221,75,60
222,73,60
223,68,60
224,67,60
225,65,59
226,65,60
227,64,60
228,63,62
229,64,62
230,64,62
231,68,63
232,68,62
233,70,63
234,71,62
235,71,64
236,76,68
237,77,66
238,79,68
239,81,68
240,82,67
241,85,70
242,84,70
243,84,69
244,85,71
245,87,72
246,88,69
247,88,68
248,90,68
249,90,69
250,89,69
251,89,69
252,88,66
253,87,66
254,84,66
255,84,67
256,85,64
